Address,Quantity,Percentage
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,197147739.5,98.57%
0xab414ac271b49502e760bb31677997ef37dfbe7a,2000000,1.00%
0x0000000000000000000000000000000000000001,344998.719,0.17%
0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,230450.4678,0.12%
0x0012aa4453c184a2e43f3876abf9cc38254d029c,53330,0.03%
0x6b43353820de407a2ef54fad2d348f558675eed1,12240.99,0.01%
0x59e1902d1daf4202a8134164fb3088a941ee06bf,11199.45837,0.01%
0x9deb69c2af204b4106415ba28d42058bc5eb0cfd,11168.82717,0.01%
0x6bdf7b73632379960c4dc25f9f6b2c92ecefde4d,10889.9624,0.01%
0xc9bad1d90d292f52ee601d4521a45598fed06c2d,10372.5432,0.01%
0xe66a9572704f1dd4287f46401cad83bcfc151ba5,7333,0.00%
0x2c5341fd04ae4f90ce4f6a11c333f3767a2578f6,6095.9253,0.00%
0x21c91d15d7a4e798726b9d52614ad95455a7728f,5370,0.00%
0x69012ff3a08f0d494e1e68845a322f7a4ca1f90c,5331,0.00%
0xb767d350a971273855dc71bfb1ca9eba2e72ebd7,5101.38133,0.00%
0xfa240a59da4d55a015b33a05d396d7093a355aa0,5054,0.00%
0x46f388953a39f447fca76be199c1f63d674bff01,5000,0.00%
0x14d5c331c11dd1c5815cf537d82355e8109d8b0e,5000,0.00%
0x4648c5220c7f441da2c2dcac7aad3a57d4447067,5000,0.00%
0x997e5dee0322d34666ec7dd19d2ddcf78ab5a601,4997,0.00%
0xea57e8bfde7e293f625adea6d19f1c0b24dbcb39,4900,0.00%
0x3e283316fd55e9071e92e0c9aa3a7e05085232f2,4900,0.00%
0xae3290ca8be6401b203b7a37f9181355720045ae,4500,0.00%
0x97d112329e1ce33ffef47418a00f822763ad3157,4344,0.00%
0x079aeaf84e6d023b7690e2867b2e8916248749ee,4000,0.00%
0x2607a9c87a23c42af248742feef0ad5a3940bcf0,3999,0.00%
0x5b76e10ae5fb0ebe549038722ff4e90433c38468,3995,0.00%
0xb86100ee3a89c4783c4efaaa9e2ae1b22f4adca7,3405.459804,0.00%
0xd3686f843d771d3a86ac7007fe91a5248b3656dc,3000,0.00%
0x314e842ec9942c139cad07643edcbaae2d71f3d5,2775,0.00%
0x0b7f68b2179b0fce7aa9ed2cfdd36248eaa53de4,2644.13,0.00%
0xa895936423a795acf1c8e79c6f5600e3d1db2421,2350,0.00%
0x6b022e4a9973dea689166c547baee003e5e00907,2193.8228,0.00%
0x912e325df99729ad625b20b3bc3ea072d29695d8,2128.964,0.00%
0xaa019596a4d0b60d15f55d6f290d953768ab451f,2100,0.00%
0x657f3bace17dab4ad48c6e298ce171acd0052cbf,2000,0.00%
0x4a06edf6213f8331e5958f1fec96bf45d68d64de,2000,0.00%
