Rank,Address,Quantity,Percentage
1,0x00000000000000000000000000000000000000b1,100000000,10.00%
2,0x100634b885f54286762578042a1bfcbeacb91729,75291097.62,7.53%
3,0x742d35cc6634c0532925a3b844bc454e4438f44e,70599170.39,7.06%
4,0x83761c6785427f5a27a07c92a9dcfa99947bc4ad,53927833.75,5.39%
5,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,48836328.94,4.88%
6,0xfe9e8709d3215310075d67e3ed32a380ccf451c8,45342356.78,4.53%
7,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,32400000,3.24%
8,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,25336101.11,2.53%
9,0x46f91f0025c303d66958fd84feec3605e9363067,24296632.81,2.43%
10,0x32f1cc71df090341140895e755ed8b35dc0b33b7,20675047.09,2.07%
11,0x62a23e43792cd096685896d2cf5aa8fd3d7bf36a,20483453.42,2.05%
12,0x174443351e21d47ed9ab51517a301107d92ede64,19065720.15,1.91%
13,0x7793cd85c11a924478d358d49b05b37e91b5810f,16436924.36,1.64%
14,0xc1b432d347652a96b99faab7d6bbb95331d1512b,13551738.33,1.36%
15,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,12530521.6,1.25%
16,0x072e6d53d852b7587c04b839980d42b46a280081,11762277.27,1.18%
17,0xf23221e40732b34d84db1d30da95367a160da090,10300399.65,1.03%
18,0xbfaa1a1ea534d35199e84859975648b59880f639,8750000,0.88%
19,0xf8aaddfd453f604c471fba6ea622e2f761327e45,7539892.792,0.75%
20,0x5b7b94e2f7b394ae280646178cb7b07d5945c195,7500000.878,0.75%
21,0xf837d6f3175f9df73772fba356f31479e67c1735,7121271.861,0.71%
22,0xf82f2fc23da4bcfef2b342e6233ba0b85c4f342f,5200100,0.52%
23,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,3850507.825,0.39%
24,0x4eb0ed48cf2d5f62ebe3c42fe2fc1cdd3a535440,3466251.278,0.35%
25,0x015ae9f70ee51a7ec41682e0a752e83e59a785c8,3365544.256,0.34%
26,0x0aaca9876ec3fe0245daec6b17c52786800ebb7b,3286042.111,0.33%
27,0x6dde928226f1bccf0932396c7f8501c61c04577a,3270733.065,0.33%
28,0x178a1df87f32dc58914f6f3b10a24672b797dd3f,3148177.021,0.31%
29,0xa17688349750954506ed2429b7e09cc83fa79a9a,2835166.8,0.28%
30,0xd47029be58c4fdbf78a7aac5334c6605d0ff4731,2790806.328,0.28%
31,0x27392740a970dee738cbe03a79a105bcb55248c9,2500000,0.25%
32,0x9adf5079abf6757acb36216c7c44399090d70f87,2283195.327,0.23%
33,0x0d0707963952f2fba59dd06f2b425ace40b492fe,2263259.599,0.23%
34,0x71d71d64ba05a18f409826b9bc348fcd30726c45,2261957.868,0.23%
35,0x167a9333bf582556f35bd4d16a7e80e191aa6476,2243074.074,0.22%
36,0x2925205b3c86bea4892ec91dc8d5a44de02f614c,2208180.248,0.22%
37,0x91136d2250fef45d08d3e34bf9e450a7067456d7,2093734.385,0.21%
38,0x4752218e54de423f86c0501933917aea08c8fed5,2093050.24,0.21%
39,0x79e7ccb8e7a61ad4781c98864c40e380bb10dd26,2069637.173,0.21%
40,0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,2022286.879,0.20%
41,0x08ac9dfd6b618b20d139eb68be4b597d9aa80849,2005998.607,0.20%
42,0xa27b29df3664fe34a8d942477a8e1279ba0faca7,2000668.274,0.20%
43,0x2069fcf4b950039a6af59d551b9a3abe81a8a629,1914919.212,0.19%
44,0x4efd35e6668339e983134a1d214bdce0f785abb1,1914704.456,0.19%
45,0x1961957dccf75873bf4c06e9cd283426c9c7bba7,1893052.308,0.19%
46,0x9d3319b7f704eadb0dfbdbffb73fd4c36af0e0b3,1608431.51,0.16%
47,0xe3031c1bfaa7825813c562cbdcc69d96fcad2087,1597421.773,0.16%
48,0xed4e1ad0f899ef3954d05bafc502f50c8e6a6baf,1561452.068,0.16%
49,0x102732759f5d132df1423218258f320ffa0cc3e4,1528855.267,0.15%
50,0x041156b4e742423769e61176e1eb185527fdda3b,1501195,0.15%
51,0x167c94ef8ab94d95db3f6064e1b7c4ce4cd35a14,1488290.785,0.15%
52,0x7950805ee8aa3e42870815482515bdcdbcc041fe,1454450.846,0.15%
53,0xc65c7d82636c53d132ce821a8270452f458257b7,1442911.204,0.14%
54,0xeca2c67f9d97bce2b5972b28b5087c816d033ccc,1437919.173,0.14%
55,0xb5aaee8f3df3a0522c53881e13f73f9bc7ef02f9,1400000,0.14%
56,0x94d139eb8b8af5e2ddf4a066b42d2eb388d51e18,1389196.162,0.14%
57,0x505145a011b6f3c0b683d7e737f332226ddbc65a,1387061.376,0.14%
58,0x7404b16378fda0d35c30eebad0e6e970ce329073,1367452.978,0.14%
59,0x1d73fe12a16f0299c1c9a01f324f7f37a34cca45,1315350.727,0.13%
60,0xcfdb636f3b32f1269b11a0f8c7a9a7c1cfaad22e,1280897.705,0.13%
61,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,1266472.731,0.13%
62,0xeb1ef4a298c1d374500da98fdd2d67aa9bcfbcb3,1233596.796,0.12%
63,0xed0245c53f69ebccdab3e39cf0013161a67bf296,1212151.242,0.12%
64,0x698290d3becb95c7e36eb0ba3dbb3bb03c3a0fb3,1187956.99,0.12%
65,0xfaa285cb5ec35eb867a1759bb7e69193276d5abe,1169322.305,0.12%
66,0x65be133061cc0fc452348662f772c76794a07353,1109365.431,0.11%
67,0x564286362092d8e7936f0549571a803b203aaced,1082321.727,0.11%
68,0x474edd23953d233470e70c636ee7f3669df3b3af,1051111.111,0.11%
69,0xd1f7ba51a0792719bfaad36d5401f9211ecd5913,1045000.512,0.10%
70,0xed94e4701c379f623d0463a54e90eab6667b425f,1033134.969,0.10%
