NO.,name,quota,usage
1,g4ytmnzsgige,1310608566,3930
2,gy2dcmjzgige,1288586594,3906
3,g42teojqhege,1263187734,3906
4,gm3dkgenesis,898413774,3630
5,gm4tgmrxgyge,644341554,4158
6,eparticlectr,635278430,2996
7,eosdaytrader,633092071,3814
8,alibabajiang,592122835,3574
9,daverexchain,519545747,3446
10,daverexblock,512978189,3574
11,wwwzhongone1,500000011,3686
12,guytgnzxg4ge,490334838,4722
13,bijingaaaaaa,473062582,4414
14,ge4tiobsgqge,458947960,3582
15,g44tamzvguge,450293241,3734
16,kedartheiyer,418183559,4854
17,eosramdealer,391714245,3446
18,ha4dsnqgenes,371121046,3582
19,eoskkkkkkeos,361481231,4406
20,prochaintech,347697807,2996
21,4413312wuszt,343141001,3446
22,hazdgmjwguge,284808440,3582
23,eospocketwzg,228353717,3478
24,haydoojqgmge,205064536,3614
25,gu2tomryg4ge,204183650,4494
26,ge4tqnjuguge,204144490,3446
27,foobarfoobar,203171582,3734
28,eosshijiebei,199160591,3726
29,g43tmnzzhege,199111622,4238
30,haztcnbqgmge,192323514,4174
31,rammmmmmmmmm,189029942,3124
32,gm4tcoigenes,171757685,3686
33,gy3damrrgqge,170976357,4174
34,eoswuyanvvvv,170752982,3446
35,gy3dcobxgmge,154389560,4046
36,123eoswuchao,151884238,3574
37,gyyagenesis1,147989496,3590
38,cosplaystore,146031682,3686
39,heydkobxgage,138031606,3734
40,gezdanbwg4ge,133051434,4852
41,g4ztonzyhage,130061958,8342
42,liguojun1111,126552740,3574
43,eosnationftw,125117103,4545
44,eoszhoudc123,123999077,3124
45,geztoojrgage,120746207,3814
46,prospectors1,117321624,4062
47,woshilucifer,115998323,3446
48,ha3tsnzzhege,113801400,195508
49,eoszxwanoeos,111308287,3574
50,ha4tgnbug4ge,109570558,4182
51,eosdabestboi,107515014,3574
52,geytemjvgyge,106204183,210500
53,gy4tembvgege,106187680,4350
54,gezdenjsgige,104891028,3814
55,gm4temjxg4ge,98540208,3454
56,gyzdcnjxg4ge,97963587,3638
57,eosxiangtian,97174608,4046
58,eostopdotone,96827758,3582
59,heibai111111,96456247,3574
60,tangzhs12345,95363029,3478
61,zhaoyue12345,92442086,2996
62,haytsobzgege,91266084,3718
63,hazdgojrgage,88857772,4910
64,g2wraavcjk2d,86804861,3574
65,eosiosg11111,85571385,3896
66,zhoujiandang,82461563,3614
67,gu4tmmjugege,82433233,4230
68,gm3taojqgage,80749672,3614
69,ikuwaraoneos,79871221,3574
70,tommytpeosio,79852879,3734
71,gyzdanzqgage,78189141,5282
72,liufan111111,72925254,3574
73,gu3donzygmge,70665073,3622
74,gu4dcmrsgege,68219137,3786
75,redsungkorea,68083979,3558
76,tokeneconomy,65702774,3574
77,gm3tgobuhage,65541361,4322
78,eosiomeetone,65348115,3446
79,g4ydomzzhege,64771090,4414
80,zhouminxiong,63628080,3654
81,gu4tknbrguge,63249805,4346
82,gq2dinjqhege,62856703,3758
83,123321eos555,60965611,3574
84,eoscafegames,59470141,3446
85,haydamjugyge,59284525,4130
86,g44dqnygenes,59089153,3814
87,ge2dinbvhege,57920348,3998
88,gm4tmmigenes,57514349,4174
89,stanislaus15,55392948,3574
90,gu3teobsgige,55232995,24250
91,gqytqobqgene,54358363,8080
92,dapang511511,52469435,3774
93,giytenrsgmge,51590504,3622
94,eosdebitcard,51440484,3446
95,zoooomzoooom,51089148,4218
96,gqzdmojxgmge,49072278,3922
97,thedeosgames,48189109,3574
98,ha4dqnbxhege,48047915,3446
99,gq4tcnygenes,47041754,4146
100,eostopone123,46335249,3574
101,gm3tonrzhege,45992590,3906
102,libertyblock,45745329,4392
103,5zhongnanhai,45392674,3574
104,hezdemrwgige,44937240,3694
105,jbeosaccount,44679939,3574
106,gyzdcnbzhege,44619917,3534
107,wodeeoslanbo,44393204,3574
108,lintong12345,41825373,3446
109,222222dragon,41271966,4174
110,eoseouldotio,40875994,3997
111,gy2denbsgmge,40508803,4254
112,eosforeveryr,40230491,3124
113,bitmainrocks,40227157,2996
114,gu4dgmrzhege,40198612,4174
115,gm4tqnbsgene,40190473,4182
116,creativedev1,40170231,3446
117,ha3tiojxgage,40168528,4338
118,haytsnbrhage,40120547,3854
119,ha3tonzxgqge,39820266,4762
120,gyztcmztgmge,39653578,4238
