#,Account,Location,Votes %,Votes,URL
1,bitfinexeos1,,3.93%,"58,493,636",https://www.bitfinex.com
2,eoscanadacom,,3.30%,"49,210,850",https://www.eoscanada.com
3,eosauthority,United Kingdom,2.66%,"39,551,460",https://eosauthority.com
4,eosdacserver,,2.65%,"39,434,164",https://eosdac.io
5,jedaaaaaaaaa,Japan,2.58%,"38,347,418",http://www.eosjapan.org
6,eos42freedom,United Kingdom,2.49%,"37,128,524",https://www.eos42.io
7,eosnewyorkio,Cook Islands,2.46%,"36,693,429",https://bp.eosnewyork.io
8,eoscannonchn,,2.41%,"35,861,796",https://eoscannon.io/
9,eosisgravity,,2.34%,"34,807,525",http://eosgravity.com
10,eoscafeblock,Canada,2.32%,"34,594,726",https://eoscafecalgary.com
11,cypherglasss,,2.27%,"33,846,019",http://cypherglass.com
12,eosgenblockp,,2.16%,"32,175,289",https://eosgen.keybase.pub
13,helloeoscnbp,,2.11%,"31,408,186",https://www.helloeos.com.cn
14,eosstorebest,,2.05%,"30,529,010",http://www.eos.store
15,eosliquideos,,2.04%,"30,409,950",http://vote.liquideos.com/
16,zbeosbp11111,,2.04%,"30,403,035",http://www.zbeos.com
17,eoshuobipool,,2.04%,"30,345,809",http://eoshuobipool.com
18,eosiomeetone,,1.97%,"29,359,174",https://meet.one
19,argentinaeos,,1.96%,"29,232,957",https://www.eosargentina.io
20,eosbeijingbp,,1.85%,"27,572,831",https://www.eosbeijing.one
21,cryptolions1,Ukraine,1.85%,"27,522,160",http://CryptoLions.io
22,eosswedenorg,Sweden,1.83%,"27,198,755",https://eossweden.se
23,eosriobrazil,Brazil,1.82%,"27,055,975",https://eosrio.io
24,eosyskoreabp,Korea (Republic of),1.81%,"27,009,177",http://eosys.io
25,teamgreymass,,1.76%,"26,204,875",https://greymass.com
26,eoseouldotio,Korea (Republic of),1.75%,"26,094,318",http://bp.eoseoul.io/
27,eosasia11111,Hong Kong,1.59%,"23,608,608",https://www.eosasia.one
28,libertyblock,,1.54%,"22,992,662",https://k26dr.keybase.pub
29,eosunion1111,,1.52%,"22,701,849",http://eosunion.io/
30,eosamsterdam,Netherlands,1.44%,"21,484,686",https://eosamsterdam.net
31,eoslaomaocom,Japan,1.43%,"21,266,566",https://eoslaomao.com
32,sheos21sheos,Spain,1.38%,"20,541,918",https://sheos.org
33,eosflytomars,,1.33%,"19,806,660",http://www.bitmars.one
34,eosbixinboot,,1.26%,"18,732,535",http://en.eosbixin.com
35,eosnodeonebp,Korea (Republic of),1.24%,"18,526,010",http://www.eosnodeone.io
36,aus1genereos,Australia,1.24%,"18,511,063",http://www.genereos.io
37,eosnationftw,Canada,1.18%,"17,625,362",https://bp.eosnation.io
38,tokenika4eos,,1.11%,"16,515,185",https://tokenika.io/
39,eosafricaone,South Africa,1.03%,"15,373,467",http://bp.eosio.africa
40,eosdublinwow,Ireland,0.96%,"14,218,035",https://www.eosdublin.com
41,oraclegogogo,,0.92%,"13,692,319",https://oraclechain.io
42,eosphereiobp,Australia,0.86%,"12,816,945",https://www.eosphere.io
43,eostribeprod,United States of America,0.77%,"11,525,153",https://eostribe.io
44,eoswenzhoubp,,0.75%,"11,228,415",http://eoswz.com
45,eossv12eossv,United States of America,0.69%,"10,303,799",https://eossiliconvalley.io
46,hkeoshkeosbp,Hong Kong,0.65%,"9,719,092",https://www.hkeos.com
47,bp2bp2bp2bp2,Puerto Rico,0.65%,"9,671,819",https://bpsquared.bp2.io
48,jrrcryptoeos,,0.65%,"9,612,676",http://www.eosjrr.io/bp.json
49,atticlabeosb,,0.59%,"8,843,881",http://atticlab.net/
