#?,Name,Organisation,Votes
?1--,eosnewyorkio,bp.eosnewyork.io,26229980
?2--,eoscanadacom,www.eoscanada.com,24665228
?3--,eosisgravity,eosgravity.com,22815334
?4--,eosdacserver,eosdac.io,22748893
?5--,eoscannonchn,eoscannon.io,21928129
?6--,eosauthority,eosauthority.com,21659793
?7--,eoscafeblock,eoscafecalgary.com,19342776
?8--,eosyskoreabp,eosys.io,19007522
?9--,eosbeijingbp,www.eosbeijing.one,17154176
?10--,eosliquideos,vote.liquideos.com,16973275
?11--,bitfinexeos1,www.bitfinex.com,16898224
?12--,cypherglasss,cypherglass.com,16666968
?13--,eoseouldotio,portal.eoseoul.io,15868246
?14--,eosasia11111,www.eosasia.one,15657599
?15--,eosiomeetone,meet.one,15337875
?16--,eosnationftw,bp.eosnation.io,14584340
?17--,eosswedenorg,eossweden.se,14522403
?18--,sheos21sheos,sheos.org,14103956
?19--,tokenika4eos,tokenika.io,13997833
?20--,eosstorebest,www.eos.store,13834964
?21--,eoslaomaocom,eoslaomao.com,13599283
?22--,eosflytomars,www.bitmars.one,12800664
?23--,helloeoscnbp,www.helloeos.com.cn,12633372
?24--,eosriobrazil,eosrio.io,12341415
?25--,argentinaeos,www.eosargentina.io,12018003
?26--,eos42freedom,www.eos42.io,11714874
?27--,eosnodeonebp,www.eosnodeone.io,11240323
?28--,eossv12eossv,eossiliconvalley.io,11097106
?29--,teamgreymass,greymass.com,10727919
?30--,eoshuobipool,eoshuobipool.com,10165432
?31--,eoswenzhoubp,eoswz.com,9904376
?32--,libertyblock,libertyblock.io,9046326
?33--,eosbixinboot,en.eosbixin.com,8900472
?34--,oraclegogogo,oraclechain.io,8565210
?35--,eosphereiobp,www.eosphere.io,7288334
?36--,hkeoshkeosbp,www.hkeos.com,7242572
?37--,eosamsterdam,eosamsterdam.net,6968166
?38--,eosunion1111,eosunion.io,6790218
?39--,jedaaaaaaaaa,www.eosjapan.org,6368888
?40--,cryptolions1,CryptoLions.io,6006842
?41--,eostribeprod,eostribe.io,5873335
?42--,aus1genereos,www.genereos.io,5845345
?43--,bitspacenode,eos.bitspace.no,5221632
?44--,eosonoeosono,ono.chat,4671781
?45--,acroeos12345,www.acroeos.one,4505547
?46--,eoshenzhenio,eoshenzhen.io,4485671
?47--,eosdublinwow,eosdublin.com,4417138
?48--,eosnairobike,www.eosnairobi.io,4295888
?49--,jrrcryptoeos,--,4146467
?50--,eosvibesbloc,eosvibes.io,4049942
?51--,eosjapanclub,www.eosjapan.co.jp,3844827
?52--,blocksmithio,eosblocksmith.io,3594959
?53--,eosiodetroit,eosdetroit.io,3390476
?54--,eosukblocpro,eosuk.io,3371133
?55--,unlimitedeos,www.unlimitedeos.com,3155601
?56--,eossocalprod,eossocal.io,2835259
?57--,bitcoingod11,eos.bitcoingod.org,2708131
?58--,top111111111,top.one,2675794
?59--,eoscybexiobp,eos.cybex.io,2666955
?60--,eosvillagebp,eosvillage.io,2310826
?61--,eostitanprod,eostitan.com,2264808
?62--,eosgalaxybp1,www.eosgalaxy.io,2217216
?63--,eosafricaone,bp.eosio.africa,2183064
?64--,eospacificbp,www.nodepacific.com,2155523
?65--,blockgenicbp,blockgenic.io,2153644
?66--,eosmedinodes,eosmedi.com,2083678
?67--,eospaceioeos,eospace.io,2080972
?68--,philippinebp,eosph.io,1998813
?69--,eosflareiobp,eosflare.io,1992097
?70--,chainriftxxx,eos.chainrift.com,1963208
?71--,eosvietnambp,eosviet.io,1930307
?72--,eosgermanybp,eosgermany.one,1860281
?73--,1eostheworld,eostheworld.io,1785725
?74--,eosvenezuela,eosvenezuela.io,1653524
?75--,emergepoland,eosemerge.io,1604707
?76--,blockmatrix1,blockmatrix.network,1585438
?77--,eosraychains,www.eosraychain.com,1498230
?78--,eosfishrocks,eos.fish,1497356
?79--,eospaygatebp,bp.eospay.host,1469406
?80--,keoskorea111,keos.kr,1431200
?81--,ha4daobxg4ge,eos.medishares.org,1419136
?82--,eoshcchealth,eoshcc.keybase.pub,1416942
?83--,bp2bp2bp2bp2,bp2.io,1296594
?84--,geosoneforbp,www.geos.one,1266334
?85--,franceosysbp,franceos.fr,1223357
?86--,eosantpoolbp,www.eosantpool.com,1186942
?87--,sheleaders21,www.sheleaders.one,1173308
?88--,saltblockeos,www.saltblock.io,1144284
?89--,eosbarcelona,eosbarcelona.com,1022654
?90--,eoswtzeoswtz,www.eoswtz.com,966045
?91--,eosecoeoseco,eoseco.com,956641
?92--,eosrussiacom,eos.adenso.ru,943245
?93--,blockpro1eos,blockpro.one,932510
?94--,eoslovebirds,eoslove.io,930652
?95--,123singapore,eos.vote,923859
?96--,eosninetiess,www.eos90s.io,878731
?97--,eosvancouver,www.eosvan.io,859948
?98--,eoslithuania,eosio.lt,854545
?99--,eosiosg11111,eosio.sg,794040
?100--,eoslawyereos,eosnetworkmonitor.io,711524
?101--,eosmetaliobp,eosmetal.io,707085
?102--,eosbepalsafe,eos.bepal.io,691777
?103--,onechaindapp,eosdapp.oneeos.org,673929
?104--,dutcheosxxxx,dutcheos.io,665721
?105--,eosmesodotio,eosmeso.io,640238
?106--,eoszonrussia,eoszon.io,638858
?107--,eosrealbpcsg,www.eosreal.com,601767
?108--,alohaeosprod,www.alohaeos.com,601586
?109--,eosteaeostea,eostea.io,595875
?110--,privexinceos,bp.privex.io,593411
?111--,eoswancloud1,eos.wancloud.cloud,589954
?112--,costaricaeos,eoscostarica.io,573264
?113--,buildteameos,buildteam.io,557510
?114--,superoneiobp,superone.io,557445
?115--,bpkhmereoskh,eoskh.com,528716
?116--,eosindiaiobp,eosindia.io,447733
?117--,gy3dqnjtgyge,eosbattles.com,404169
?118--,eosdanhuausa,www.infinitystones.io,397684
?119--,pratothemoon,chain.pro,377073
?120--,dposclubprod,dpos.club,286402
?121--,eosthushuimu,www.eosthu.com,285118
?122--,daoeosbpbwin,www.daoeos.io,284101
?123--,eosgreeniobp,eosgreen.io,271699
?124--,blockeosioio,blockeos.io,268096
?125--,chainclubeos,eosio.university,253379
?126--,worblieosbp1,eos.worbli.io,239999
?127--,eosamericas2,www.eosamericas.com,210672
?128--,eosnetworkio,www.eosnetwork.io,163374
?129--,bpacbpacbpac,bpac.io,158101
?130--,blockchained,eos.blckchnd.com,147897
?131--,roelandp1eos,roelandp.nl,146654
?132--,eosarabianet,eosarabia.net,140589
?133--,eosromania22,eos.romania22.com,133026
?134--,germaneostop,www.germaneos.de,120688
?135--,eostark11111,www.eostark.com,115119
?136--,eosxsinanode,eosxsina.com,113853
?137--,eosmotioneos,project.motion.one,108898
?138--,eosgamesboot,eos.games,100718
?139--,eosmiamidade,eos.miami,83947
?140--,eoscocoshost,www.cocosbcx.io,82476
?141--,eosholdings1,eos.holdings,81523
?142--,deneosioblck,deneos_io.keybase.pub,77397
?143--,eosfutureldn,eosfuture.io,76928
?144--,stakedstaked,staked.us,69040
?145--,eosarmyioant,keybase.pub,67129
?146--,activeeoscom,www.activeeos.com,66808
?147--,eosyosemitex,yosemitex.com,64654
?148--,eosadddddddd,eosadd.com,62457
?149--,disfundbpeos,alexbond.keybase.pub,47039
?150--,blockgenesys,www.blockgenesys.com,45612
?151--,blockcceosio,eos.block.cc,43512
?152--,eospalliumss,eospalliums.org,42266
?153--,tchaineospro,thetchain.com,41705
?154--,nodeshanghai,fish.one,40879
?155--,zbeosbp11111,www.zbeos.com,40550
?156--,gqydmnbyguge,--,40536
?157--,oasisproduce,eosoasis.io,40437
?158--,spearfundoh1,spear.fund,40325
?159--,eosblockzero,www.steemit.com,39538
?160--,eoshorizon11,eoshorizon.ca,39052
?161--,eosplaneprod,eosplane.top,38955
?162--,csxcommunity,www.csx.io,38852
?163--,onerootlleos,oneroot.io,37903
