EOS排名,BP,总投票账号,总投票EOS,> 50W 账户数/投票EOS/占比,10-50W 账户数/投票EOS/占比,1-10W 账户数/投票EOS/占比,0-1W 账户数/投票EOS/占比
1,bitfinexeos1,3266,"51,071,134","7/41,995,509/(82.23%)","16/2,463,718/(4.82%)","158/3,670,377/(7.19%)","3085/2,941,531/(5.76%)"
2,eoscanadacom,7019,"47,637,379","12/26,296,816/(55.20%)","35/6,756,536/(14.18%)","338/8,427,175/(17.69%)","6634/6,156,852/(12.92%)"
3,jedaaaaaaaaa,1961,"41,826,442","7/35,695,498/(85.34%)","9/1,850,630/(4.42%)","100/2,682,534/(6.41%)","1845/1,597,780/(3.82%)"
4,eosauthority,7174,"41,656,283","9/20,228,404/(48.56%)","34/6,307,990/(15.14%)","355/8,736,794/(20.97%)","6776/6,383,096/(15.32%)"
5,eoshuobipool,3669,"39,443,955","15/29,659,243/(75.19%)","19/3,312,870/(8.40%)","152/3,785,444/(9.60%)","3483/2,686,398/(6.81%)"
6,eosnewyorkio,6763,"38,484,797","13/15,793,681/(41.04%)","39/7,327,453/(19.04%)","374/9,391,467/(24.40%)","6337/5,972,196/(15.52%)"
7,eosisgravity,5708,"36,939,630","18/20,884,858/(56.54%)","28/5,362,182/(14.52%)","275/6,331,485/(17.14%)","5387/4,361,105/(11.81%)"
8,eoscannonchn,4972,"36,255,664","16/18,443,278/(50.87%)","40/7,316,254/(20.18%)","254/6,717,901/(18.53%)","4662/3,778,231/(10.42%)"
9,zbeosbp11111,914,"35,730,592","17/32,954,628/(92.23%)","5/1,308,232/(3.66%)","34/768,120/(2.15%)","858/699,611/(1.96%)"
10,eosstorebest,2850,"35,268,504","16/24,989,756/(70.86%)","23/4,801,339/(13.61%)","125/3,411,919/(9.67%)","2686/2,065,491/(5.86%)"
11,cypherglasss,4192,"35,037,223","9/21,992,019/(62.77%)","21/3,919,934/(11.19%)","208/5,309,856/(15.15%)","3954/3,815,415/(10.89%)"
12,eos42freedom,4115,"34,771,576","9/19,966,657/(57.42%)","26/5,177,676/(14.89%)","235/5,796,865/(16.67%)","3845/3,830,377/(11.02%)"
13,eosdacserver,7185,"34,204,571","6/13,607,227/(39.78%)","31/5,266,500/(15.40%)","357/8,674,997/(25.36%)","6791/6,655,847/(19.46%)"
14,eoscafeblock,4971,"34,160,105","10/19,719,943/(57.73%)","24/4,225,567/(12.37%)","249/5,595,675/(16.38%)","4688/4,618,919/(13.52%)"
15,eosliquideos,4234,"33,293,284","12/21,308,036/(64.00%)","16/2,935,220/(8.82%)","221/5,167,827/(15.52%)","3985/3,882,200/(11.66%)"
16,eosgenblockp,685,"32,900,364","4/31,590,957/(96.02%)","2/374,295/(1.14%)","21/412,283/(1.25%)","658/522,830/(1.59%)"
17,eosswedenorg,4255,"31,785,052","10/15,586,083/(49.04%)","31/6,196,446/(19.49%)","244/6,226,718/(19.59%)","3970/3,775,804/(11.88%)"
18,eosriobrazil,4034,"30,952,098","9/18,466,647/(59.66%)","20/3,735,863/(12.07%)","207/5,245,774/(16.95%)","3798/3,503,813/(11.32%)"
19,eosiomeetone,4829,"30,222,070","12/17,153,434/(56.76%)","21/3,590,167/(11.88%)","228/5,545,141/(18.35%)","4568/3,933,327/(13.01%)"
20,eosbeijingbp,3532,"29,706,495","17/18,651,407/(62.79%)","21/4,065,519/(13.69%)","160/4,293,652/(14.45%)","3334/2,695,918/(9.08%)"
