#,ÓÃ»§Ãû,Url,Votes,%,Daily Reward
1,eoscanadacom,https://www.eoscanada.com,"78,091,245",2.65%,937?EOS
2,eosnewyorkio,https://bp.eosnewyork.io,"77,958,615",2.65%,936?EOS
3,eos42freedom,https://www.eos42.io,"74,557,588",2.53%,909?EOS
4,starteosiobp,https://www.starteos.io,"73,703,828",2.50%,902?EOS
5,eoshuobipool,http://eoshuobipool.com,"71,117,462",2.41%,882?EOS
6,bitfinexeos1,https://www.bitfinex.com,"71,009,828",2.41%,881?EOS
7,eosauthority,https://eosauthority.com,"62,258,828",2.11%,811?EOS
8,zbeosbp11111,http://www.zbeos.com,"61,194,372",2.08%,803?EOS
9,libertyblock,https://monitor.libertyblock.io,"60,171,346",2.04%,795?EOS
10,helloeoscnbp,https://www.helloeos.com.cn,"58,258,482",1.98%,780?EOS
11,eosriobrazil,https://eosrio.io,"57,572,621",1.95%,774?EOS
12,eosswedenorg,https://eossweden.se,"56,877,416",1.93%,769?EOS
13,eosamsterdam,https://eosamsterdam.net,"55,222,182",1.88%,756?EOS
14,eoslaomaocom,https://eoslaomao.com,"54,750,440",1.86%,752?EOS
15,eosdacserver,https://eosdac.io,"52,595,157",1.79%,735?EOS
16,eosliquideos,http://vote.liquideos.com,"52,275,066",1.78%,732?EOS
17,jedaaaaaaaaa,http://www.eosjapan.org,"50,784,807",1.72%,721?EOS
18,argentinaeos,https://www.eosargentina.io,"50,509,154",1.72%,718?EOS
19,eoscafeblock,https://eoscafecalgary.com,"49,935,751",1.70%,714?EOS
20,eosbixinboot,http://en.eosbixin.com,"48,256,778",1.64%,700?EOS
21,eosisgravity,http://eosgravity.com,"47,450,590",1.61%,694?EOS
22,eoscleanerbp,https://eoscleaner.com,"46,846,291",1.59%,371?EOS
23,cypherglasss,https://www.cypherglass.com,"46,714,083",1.59%,370?EOS
24,eosfishrocks,https://eos.fish,"46,007,596",1.56%,365?EOS
25,eosasia11111,https://www.eosasia.one,"44,575,734",1.51%,353?EOS
26,cryptolions1,https://CryptoLions.io,"44,440,579",1.51%,352?EOS
27,eosgenblockp,https://www.genesis-mining.com/eos,"42,528,436",1.44%,337?EOS
28,eostribeprod,https://eostribe.io,"42,518,727",1.44%,337?EOS
29,eoscannonchn,https://eoscannon.io,"41,904,748",1.42%,332?EOS
30,teamgreymass,https://greymass.com,"40,866,290",1.39%,324?EOS
31,blocksmithio,https://eosblocksmith.io,"40,154,495",1.36%,318?EOS
32,eosnationftw,https://bp.eosnation.io,"39,896,340",1.35%,316?EOS
33,eosiomeetone,https://meet.one,"38,185,340",1.30%,303?EOS
34,eosbeijingbp,https://www.eosbeijing.one,"38,095,801",1.29%,302?EOS
35,superoneiobp,https://eos.live,"36,843,004",1.25%,292?EOS
36,eosdotwikibp,https://eos.wiki,"36,642,643",1.24%,290?EOS
37,aus1genereos,http://www.genereos.io,"33,188,857",1.13%,263?EOS
38,eosafricaone,https://bp.eosio.africa,"33,102,602",1.12%,262?EOS
39,moreisfuture,https://more.top,"31,438,033",1.07%,249?EOS
40,eosyskoreabp,http://eosys.io,"31,305,232",1.06%,248?EOS
41,eosflytomars,http://www.bitmars.one,"30,609,366",1.04%,243?EOS
42,eosdublinwow,https://www.eosdublin.com,"28,575,384",0.97%,226?EOS
43,eosnairobike,https://www.eosnairobi.io,"27,435,090",0.93%,217?EOS
44,oraclegogogo,https://oraclechain.io,"26,395,548",0.90%,209?EOS
45,tokenika4eos,https://tokenika.io,"26,269,650",0.89%,208?EOS
46,eosvenezuela,https://eosvenezuela.io,"25,181,717",0.86%,200?EOS
47,sheos21sheos,https://sheos.org,"25,146,884",0.85%,199?EOS
48,eosnodeonebp,https://eosnodeone.io,"24,643,195",0.84%,195?EOS
49,acroeos12345,http://www.acroeos.one,"23,735,200",0.81%,188?EOS
50,eosonoeosono,https://ono.chat,"23,402,551",0.79%,185?EOS
51,eoseouldotio,https://www.eoseoul.io,"22,469,403",0.76%,178?EOS
52,blockmatrix1,https://blockmatrix.network,"20,830,375",0.71%,165?EOS
53,eosunion1111,http://eosunion.io/,"20,646,622",0.70%,164?EOS
54,eosecoeoseco,https://eoseco.com,"20,210,810",0.69%,160?EOS
55,eosphereiobp,https://www.eosphere.io,"20,176,205",0.69%,160?EOS
56,qxeosqxeosbp,https://www.blockpin.net/eos,"19,367,631",0.66%,154?EOS
57,eosstorebest,http://www.eos.store,"18,731,323",0.64%,148?EOS
58,eossv12eossv,https://eossiliconvalley.io,"17,454,504",0.59%,138?EOS
