Address,Quantity,Percentage
0xc269e59fa386999c5f4f02c5d37bafd61b1f1eeb,959600000,45.70%
0xa5f728bfc0095c4b9c87eb7d9a8ffafd8973b669,324143715.7,15.44%
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,302335261.2,14.40%
0x11a98108254b4d81468b241d579b53a818b0a931,99314032.1,4.73%
0xba8e88385e5c90b7ee1f32c80fa56407763bd275,75655325.48,3.60%
0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,44318872.8,2.11%
0xf85cbd25d1e5da91ab1b1bd388e25d58a821c934,30000100,1.43%
0x1c27406ffbef0e80371a040a2436521a78390a90,25899700,1.23%
0xaf5fd49d67f58e97fa0a45de63c0495b2129dee2,25000000,1.19%
0xab414ac271b49502e760bb31677997ef37dfbe7a,17000000,0.81%
0x04a3a7a72a67230adb641377b2824102bb126cb2,12000000,0.57%
0xf0699994eb82b56abcf3b9eda6e2790bbb462d44,11000000,0.52%
0xe7af3bf54b30af9a3a02460e18545773fa99ebde,8750000,0.42%
0x2e09e86f28d54e7c69eb6b89cb5de5e577c09ba7,8400000,0.40%
0x7f28eccac284fd727500ffe4cb134b19bd14ee81,4950000,0.24%
0x1fb74fb353768b658792651808a16b9911d00f27,4835787.78,0.23%
0xc672a72756d06fc9372a41568e9dd2add70e3748,4495529.981,0.21%
0x4a34fd6ab28cec130dfde1de3ce022020feb773c,3849682.837,0.18%
0xc0ad0e551fe8fd795719869315b6dc30a41912f7,3741717.413,0.18%
0x47afc5771b510ae49e15cd53a0dfb8e0e7135921,2920044,0.14%
0x35006b9d1c895ed2c9b4e04581b09e0a3aea0d63,2865402.375,0.14%
0xf13a35e53d0754ba480e5da44a17efa78b7163c7,2578742,0.12%
0xe2ecb83823574fc1f47ab8b935eba695c64d3804,2261800,0.11%
0x036fd482ef67b8427f811b161691c8c0f2e8856a,2234674,0.11%
0xb2a648492f6a696f43970e72214912e8d7235bef,2155394.148,0.10%
0xa312a3880da3f9df4409098f0f1ec058ac3b595c,2099274.795,0.10%
0x33e7685664373839367fb765ca8afe17073f4277,2000980,0.10%
0xf4ac4dde5c5e164bb43d0e9724e46aee7ca6231e,2000000,0.10%
0xedc96a2903efdb88b671ffbad4ca6b65940297cb,1999998,0.10%
0x97a269a689ed8145464dd61aa57de2beb9cb50d3,1891291.48,0.09%
0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,1676698.362,0.08%
0x5dcc766de38827e297dc23ec52807912a4e9feb1,1639447,0.08%
0x5d5174206edb85e90b67b145835fb2339bfbdf66,1593126,0.08%
0x784510710846e3ae729078c21432c240e933cf18,1513587,0.07%
0x4569313f76593d866b454c170e3533625c7c3d3a,1473813,0.07%
0xaaf7155804c665b1e7926fa0683c42d99e1708ab,1313050,0.06%
0xabf0400068a58672f4ab04a363e7ff3460b489ad,1309037,0.06%
0x2caf212b51ce044e504aef5cc20ea5b97c59ee4d,1176542,0.06%
0xabef2d514e7dc7a66fb756747753bbb62b186c11,1137813,0.05%
0x6de836d00fed1cae5780aabdd0f8cddb25643a90,1118541.156,0.05%
0x09daf5c952f9e1a03844187683418b084ab5883c,1071019.367,0.05%
0x88b53fdbb0da95843bddcaddc720e5c94dac85cf,1050052.5,0.05%
0xc590f5c2c72c85baa831cad17209a4b4c30d2d5d,1050000,0.05%
0x4ea55eb57e6ede74dec93e7e0d73da07c2915c2b,1049048,0.05%
0x9b9bb930749b74b039647899bb7bb5d12dbc7794,1032684,0.05%
0x0fe224554269ddf7f662da0b2837acb338e56e2d,1005238,0.05%
0x9db7bbd07bcde6b3b6caf67d4b6ab2fc404e1455,1000000.245,0.05%
0x965ecd6bc211c264e74daca60fd468dd53561d17,1000000,0.05%
0x9c6eeb9af8067312cd64f32d06795f7315fd511b,1000000,0.05%
0x8de3e7247acc7ce5cf359adae87bbde14ad1d0f3,1000000,0.05%
0xd062c0e9665e79a07bafa685fd3a2c0f6accf1ec,990000.0001,0.05%
0x4e2c2c5811d8bfe2b071d6a7cdc91ed9f17fa2b9,983067.1341,0.05%
0xde0f99bda49769901060dcd0c5fe1602cfdb3589,979950,0.05%
0x217bdabb550a72cbb1090bad5b1b456d721f8da6,979079,0.05%
0xbd1a4e78d036c276463696be378e009f6f1d2508,972639.63,0.05%
0xea4b8a63fdf64cfc2c500efe272bd506bc4d1c4c,945000,0.05%
0x545eb74bb51d22ef67eee6a8d24f56917e66b590,872934,0.04%
0xc0029f50b4b46706daf827947c85ace56249bdfb,869373,0.04%
0x184828b929e26ac6c8deefa7b014155472f9bb7e,813188.625,0.04%
0x527902159471bd37d68576a73200a7177fa9c2fb,797081.0808,0.04%
0x85b567c2541f0f1b8f154aebb44b4468cb952c75,787500,0.04%
0xbed5f95fd958559be834e61a9b62be92c50c35ce,787014.0927,0.04%
0xd47827b844bb613438f2ad5210590d8a1204775f,777855,0.04%
0xbbda1375a1d4ada8db9302116b93bbe8b6e6936a,762069.7405,0.04%
0xa6b2288fad65e652b2cd65a4f715d47c27d17848,741077.5,0.04%
0xd9b7f4401689d6964791f232dba3ff56791a7117,737548,0.04%
0x1585a97831773d4020b667264d75f33ed4996191,708438.7096,0.03%
0x2484a68c970fed7f8a5991c071dbb6d3c93b3d3d,701139.425,0.03%
0x214eed5b377047262c1a21cea5292de4a944d891,700000,0.03%
0x60e5ec103fb475d1c7cea3d510539aa6b877e664,699000,0.03%
0xd710c088d1c364ca98ca00ae20a50a41bd8453f0,698000,0.03%
0x396c986ff47be296d0c4e5a83288b454c6866da5,685613,0.03%
0xe62709343ed6ba0babe6d60f225025cab897d0f8,672814.5231,0.03%
