Address,Quantity,Percentage
0x9592820be68d77b267af62ab16ab8790ee076d4a,717141847,71.71%
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,233630535.2,23.36%
0xab414ac271b49502e760bb31677997ef37dfbe7a,14000000,1.40%
0x9e373dbf83523e1f5aa23c6da156b0c742e75415,6000001,0.60%
0xcacc1989285c84c965f62185a6a16d20042f3e4c,5000100,0.50%
0x8c4744164215e352464b22f6a1b4a831c4922db0,4999990,0.50%
0x4960c4bab179d667288e85f9001ea0c67b7727a7,2000000,0.20%
0x33da6a3ebb8efd959c44489d1b2f7dcc027d8444,1930000,0.19%
0xaab583e35b8819ba4b5bc90dae0fdeeae43b35a1,1610000,0.16%
0xb0cf943cf94e7b6a2657d15af41c5e06c2bfea3d,1217300,0.12%
0xc99cefefda9488dd3214e85d2adef6af919a659e,1200000,0.12%
0x74acf7b8780ca464a2f5f6b71fa767f89545131d,487394.623,0.05%
0xc7f5e79f9dba71af2d65be4912ee7afdf0ee11ff,455582.961,0.05%
0xfe165cad95613986203fce7bb1c028d0af9f645f,350000,0.04%
0x99ac5729dfc8386c2870449bf09c7ca2fc577f8f,344170.485,0.03%
0xa76f14c26477ac44a705c48b6a2d0e6230755928,331160.9,0.03%
0xee8ff48d03a0493b8a79c80b0071b5e818bd22bf,300000,0.03%
0x1d151ea535c2b9f21a88459c03afdc5e627cecea,260000,0.03%
0xebe04cb0193ab3d8edbde8ef6673d400a4fd2dcb,237600,0.02%
0xad01131ca3808253c535ea5d061bed884a87d91d,237500,0.02%
0xf710dbc6756ede8bc7157f18dc6bf5046f7f993a,166666,0.02%
0xa05225eae1b2d0af6b0ed645c2ba7176764c0c62,147000,0.01%
0xdd8862241f9b51feaeae91db575a5ceab10807b9,130000,0.01%
0x410282b6e53c0d48007ace4874b6afa6754425f7,130000,0.01%
0xdbca4211f096bc7b85938c4b0583b8f78a154c8a,123500,0.01%
0x60593ab6bd8c4a33fdc2bc70659ca17d9d3ad0c3,118500,0.01%
0xb4cdc33562148e745c2a7c8809735d23eb0cd3c3,116668,0.01%
0xa54f6bb4ef101d6a743c2e591d36b22bcc38fcd5,116666,0.01%
0x76e8013358571170b616b8ad6001e23a614a31a5,112500,0.01%
0xf529ffe5d6dd39214fdc692d5b577075a40eb6f4,111000,0.01%
0x5688f726c60aa58d679a242a8b283e3b2fcee26c,107000,0.01%
0x91e67ab4c0744e655ed72f2333c180192f3322a6,105000,0.01%
0x00ba8ccbf0c1ce62834d72706fe3236387f5da35,105000,0.01%
0xc836ef3c6a8e023dca6f6c969c7e96615243c1ad,105000,0.01%
0x5ee6a60df176929ac491e4fd18fde1be8a29205b,102900,0.01%
0x492b0641d3197e2c9de6f179462106a21c9d8739,100000,0.01%
0x075090072e2a32405d5dbe5eafcea55dbb131151,99900,0.01%
0xc0313befbe5f24ffb6244e9938b67d38cb38c556,96000,0.01%
0x0f716b57e9507edd1492aac2717b83b9dbb403d0,95000,0.01%
0x2dbfb0593a2c7fe0ed97942b9e9a8b9684875648,95000,0.01%
0x11f7edb5997bf8a11f13dd2d5ffb0d971aca8717,90203,0.01%
0xdf7e362fd90b53728ccbe403e93ed6670504e699,90000,0.01%
0x001fc3d1732a59f9a7036ed956d3df1299b2f5c0,90000,0.01%
0x3f91b4feda8a0aed4ad129e98fe9258974335ff3,90000,0.01%
0x49d5dcd94af8e2521d3af55823860878968638cf,75000,0.01%
0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,75000,0.01%
0xcff3c6705b0e3259a317046389dd6a1a841a88b3,70000,0.01%
0x7958d75ea5e4e40aa9fe0d0e92ad7d6109adfd91,70000,0.01%
0x84209cc094aefa063e19f6ec8dd866fa03cda54e,70000,0.01%
0x1a37375601ac23db78007faf2e59448d64d48b50,70000,0.01%
0x0016364fd92dbfce48ae9acea57108dfe7fc2179,69250,0.01%
0x58863b10a5e7efe698b2546b3e91cbc28c06c813,69000,0.01%
0x48fc308d4e4623b13444cd7ae9218f770f814908,65704.3299,0.01%
0x0efd9fb079ed06d5c4f5bfddf5c6732cf066cf9f,65694,0.01%
0xa9c98da015f289050092933e04aac892587528fe,64974,0.01%
0xcda5683c196c615c4f50591d3cec6495a5946418,63112,0.01%
0x6be3762f0681c125d106e1c2a59df838b6f2e0de,60211.778,0.01%
0xc8a71e4a5106463cc2e530dee78206bffe30e8ad,59399,0.01%
0xff88c30df1886ccfe67e7fad199f83295f394551,57000,0.01%
0x5eb7c83f1d826f43e5cea32b4c75c6d14f1505f7,56000,0.01%
0x1f691435c68ede21f184840ff884099a12e7760a,52500,0.01%
0x5150b62fafffbb1b0740ece5f230cf802bd4ca64,50596.7829,0.01%
0x949229a1060babcd453aff77af6abe45c40de7be,50559.39,0.01%
0x3449baf741e3e80c5ca109f126d0eb7259f811a6,50000,0.01%
0xc1aaad6f6da952bca3c579e65cbdec6c34f26513,50000,0.01%
0x183b8b4d77da7e8d85e37b7329f06b9bf2385fc6,50000,0.01%
0x13c6a021d17f4f86c8ac03c926c9261f607a5be2,50000,0.01%
0x285532091713680153784bb94766eefec80a2a73,50000,0.01%
0x9461c4a337c417fe6cbeae3e88f4ac0d28962ffd,49500,0.01%
0x6af1b6160214954d18a1a94f2d6e6c3d694786ff,49500,0.01%
0x9fadd28bf251c7f2b8ac1b940a99e7302aa6186b,49500,0.01%
0x035c70bf96061c295aca8dcb9e4354720cadbcde,47520,0.00%
0xd08eb9351bf5dbec61b68e0a576307704ae507c2,47500,0.00%
0xf21f2e36278be829341f0e2fce3a04347f3bf7a1,47500,0.00%
0x839eaaa9f8655462177e05a8e3f144892ec03696,47500,0.00%
0x928b94f77531f9ca60cb36d49d42dd8a79270f1a,46864.287,0.00%
0xde4e0e5e53bf4f1a1028442da00d4428645dd949,45223,0.00%
0x89d19f5d6dcc923241c74cf3d1b8ca6d568634e9,45000,0.00%
0x6f171316860c67a88bc327802b563fac638aac8c,45000,0.00%
0x861f6df04663d71c9d3a9d15c7aa3203998fa9ec,45000,0.00%
0x380db8788479b15e00b1a574e44dc6e50e44c037,43316,0.00%
0x970a264f141aa7e74dc25993f54be53856d05920,42167,0.00%
0xa1c4504846248d4f0db7b2bf5dbb486614fbfec8,38250,0.00%
0xa787810bbfc4a66cc72013219e9f5c9504cc9481,35654,0.00%
0x4b36f4a426ef51ae194d0c253f6e1f6abb46d843,35640,0.00%
0x8c55fe22db58ed3fd4bd620eac8f0be799821233,35637,0.00%
0x9d6585c275c7a10e4e20289f04078fe3e249606a,34650,0.00%
0x037ee95896de421056099aabe5cae32a1b537dd6,33660,0.00%
0xe50e3cf0904e71cbbc61b9d5531c63ba6006d7ab,33660,0.00%
0xcefc52073d98c549cfb708b0cb431fc1325d7bf4,32487,0.00%
0x7feca054dd5ad8dd02eab9bdf393e9dcc581ec0b,31672.08,0.00%
0xa4b1172a92f22704df07afac75b1c56da3a7c273,30000,0.00%
0x84445ac19c82d786e3f2fbebb2ce700fa03460b1,30000,0.00%
0xf378c2dec91b287c066abf41342df7f9d9e50697,30000,0.00%
0x08996b5263810ed7e013839ea013f63cd604738e,30000,0.00%
