Address,Quantity,Percentage
0x9383983fc9b283b51b2147785cba047006d322f0,1669980000,79.52%
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,297388212.6,14.16%
0x3a494ce3cd1a7f9ca8a7ea8728d85e31eb3cd3bd,23990000,1.14%
0xab414ac271b49502e760bb31677997ef37dfbe7a,21000000,1.00%
0x371726d3d788c31abb094833dd413d51b7063d51,20000000,0.95%
0x906692908239030f5f1d348c03b6fc6081843f47,8000000,0.38%
0x598671ec039e2a83715d7779222039edddf210ad,5000000,0.24%
0x33521e83a56dcd9e071dd9ed941be2e51c769bd6,2999990,0.14%
0xc6c3f62de61a467075910671f5c3492d274b04db,2880000,0.14%
0x6f95fd365f6d0a68e428cb92b0405907c4fb6696,1800000,0.09%
0x4493158194905b84391edb5c44d4a420df7449f5,1410000,0.07%
0xeb94c824d4df364f5f1c55889a41f47f3bca55ee,1000000,0.05%
0x1951ee200f6fdeba842858a471cd1150fbb22fe2,900000,0.04%
0xaab583e35b8819ba4b5bc90dae0fdeeae43b35a1,900000,0.04%
0x539bf92b122e20b907f08ca151fa5e317ffc8ff6,839138.8618,0.04%
0xc0313befbe5f24ffb6244e9938b67d38cb38c556,811200.013,0.04%
0x7de617350f13fca7d391a012c52fea4c528219d7,600100,0.03%
0x74acf7b8780ca464a2f5f6b71fa767f89545131d,600001.398,0.03%
0x7b14d32264ccfa1f5824a3c031aa13a35afea8f9,600000,0.03%
0x66fa9a0a3572704a98d585ab0e00c9abcf2418b8,600000,0.03%
0xa06d1263d95ab110e492589b720a360cb9691175,599000,0.03%
0xebe04cb0193ab3d8edbde8ef6673d400a4fd2dcb,594000,0.03%
0x5c330afc6a746bc079f95b8bf5c531d621ae08b4,510000,0.02%
0x5688f726c60aa58d679a242a8b283e3b2fcee26c,496000,0.02%
0x7e217bccc61e36093d3622ce3607e6b010b6cd9f,487800,0.02%
0x351f647c8dd0f007535ae9296b471c225c9d4530,419998,0.02%
0xd395c6dfc970ca7ac66a8d2033834dff62323beb,396000,0.02%
