Rank,Address,Quantity,Percentage
1,0x28bfe2042b276450c35b7fddc8e64a758081aef3,71250000000,95.0000%
2,0xeae27839e062705ce7ecd43b5b93271633503669,3700000000,4.9333%
3,0x0a2808e855d0bf7b6a0157cfb57c4f14b88586d4,49874900,0.0665%
4,0x5614d5ca79c163a4bf5ebcf61c0a4b18ab635f61,58100,0.0001%
5,0xfdabe1c4a768237e6c276a11f6f4dea006d82a7b,13893,0.0000%
6,0xac09847666d09f77a241a7cd47f457175cf3911f,5005,0.0000%
7,0x8a47e5b2540e3f1c7d017e2141802674afbc45e1,2200,0.0000%
8,0x4a322f914d1449e71070bacc1afd4a4492ec054e,2000,0.0000%
9,0x3078badbc46bde38889501682bd4b2b6ac729c2a,2000,0.0000%
10,0x2e26f45d030d5bd4d46b8a8bb571f6d4a1b3a1bf,2000,0.0000%
11,0x3a77223be087bc398ef1d6327d01db2df330dc8f,1800,0.0000%
12,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,1400,0.0000%
13,0x1ec9218931f148716f6488ff756b4f77b3b2add2,1002,0.0000%
14,0x910a4eecf45bb8c6a984875a06866c7061acbae1,1000,0.0000%
15,0xab9fade17c95e3432cc2d8b0f6eaadc323833213,600,0.0000%
16,0x6fa48ef03859d84ec6e3467880a4c2a905e7a8f2,500,0.0000%
17,0xc84364822d8d24229048691377b4b2dfd4f6ccb2,400,0.0000%
18,0x0bc1568d000512e7fd2ace4eda849bd76a6f8caa,400,0.0000%
19,0x1d208b081efb6f272e0f4ee6a2105f03678c0b6e,400,0.0000%
20,0xbd3b23367169fd32a60fe077b7504539ee588669,400,0.0000%
21,0x242bb5d6591d66084037f7fea7bcd64c1db8b4bc,400,0.0000%
22,0x6076396d7ff3f592453f2ad704c0ddf003ea8d30,400,0.0000%
23,0xa799eedd6d0495a8bd262a181e85910cce2949c3,400,0.0000%
24,0xd551234ae421e3bcba99a0da6d736074f22192ff,400,0.0000%
25,0x729ea64b1393ed633c069af04b45e1212905b4a9,400,0.0000%
26,0xafc3faeb81d3ac75e52556f88dfd144b56523281,200,0.0000%
27,0x3b9d0e4a0ea2c0643dc930070ca08fa6a5491a26,200,0.0000%
28,0x2d58993f16694e95b64992797082839b69b9868d,200,0.0000%
29,0xf37d02dff8990eb87c5baaa49d83dea973414a64,200,0.0000%
