Address,Quantity,Percentage
0x0893265ff15cf31bf034e89f386fe909bb2cd993,500000,50.00%
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,342510.9085,34.25%
0xb0cf943cf94e7b6a2657d15af41c5e06c2bfea3d,73125.69358,7.31%
0x464fc4a06af689186154a4c0d4b062474f040a8a,30000.01,3.00%
0x6614ecf1136b18920fe9f9c4fba58562f73e409b,14030,1.40%
0xab414ac271b49502e760bb31677997ef37dfbe7a,10000,1.00%
0xc6c3f62de61a467075910671f5c3492d274b04db,2400.01,0.24%
0xe07d08b20284b9db789c07cd2882c0a3f5e20a60,2257.497,0.23%
0x6ef672425142a297b224189af5a71af67e28f177,2200,0.22%
0xc7f5e79f9dba71af2d65be4912ee7afdf0ee11ff,2000,0.20%
0x736e3e04dcba4897a1c1d59831d16c424ae20443,2000,0.20%
0xf99345118fdfe68fe9a6aadf32d4bf1167dcfdf4,1000,0.10%
0x1d03b5dbd81dc16cd7a3a4813c98a67241e4b8ed,525,0.05%
0x9f8f34fa7c6ff387da6be2e0e3b584482ff31958,470.5,0.05%
0x5112fa9d47be04c1ceb72f49c98fd5ff31ab2296,403.0123085,0.04%
0xe1d6217fff3f54e05acd1707f794621c98f6a94c,390.783,0.04%
0xf9c3dae9b3add3d0d7a15662484d3e36d018bd8e,368,0.04%
0xb1b550e832cbc669437ddf2a346a0fd2c9b704cb,367.39,0.04%
0xf1eebe7958ad19bd237e3ed206765043e728a0c9,341.595,0.03%
0x0649f4d7bde912e0cd06e0efba2f9609406b390d,340.737,0.03%
0xb9dc62a660050024b6c6120f45593c067a06a615,340,0.03%
0xa8e7c46fb6a05776fb25ee299e5ffb18e7ce5aed,320,0.03%
0x890018410075fd85cca374e8f6519c8c398b0753,310,0.03%
0x09240c74352810f03e5681adabd34b5bd16646ac,270,0.03%
0x7f0ba4b52852eb6f387b6fc399d2efcbcb44f947,230,0.02%
0x261a9b06b8f430f941b7ae4e6833368842ccf7e0,221.635231,0.02%
0xe771e4ef5b02cbe147638649e464eade94daca28,210,0.02%
0xe08ddd38a44360b0934ef50c0c174f911f62b7a9,200.0463904,0.02%
0x9f1ed0941932e30bd0b10f29c827408e04c7a4b2,200,0.02%
0xa895936423a795acf1c8e79c6f5600e3d1db2421,200,0.02%
0xe6e51aea31563f9b49e43b8dbca04a238874c144,200,0.02%
0x42128766bf46ebe6d3c20554b205d99902bf1ee4,200,0.02%
0x5928915e86ceea51fec3e22e1beb300e508d561d,184,0.02%
0x14b729e9420382a2565ee5fd7defbb0b132f433e,182.7155693,0.02%
0x614c9a4ab0bb29d137541e526812b269d4861e0b,180,0.02%
0xbfb9a03783fcb123816e4a65bd7753f95d066c51,178.71,0.02%
0x92ce6a4f5ee67fd357f609f9b026012d02df450e,166.4678232,0.02%
0x39231fb64388b62f2b0ba2cd6effd91dca4532c2,160,0.02%
0x205b568ccf579032ffb3998e1d523b7f7ac9155d,157.386,0.02%
0x59d8f070727b5f00a73344334f587784fc87a49d,150.418,0.02%
0x84829c14dc54585e6b92c799ff92030171041b40,150,0.02%
0xc7284ba9ab92d30b7124f192f3e85a4d7eeea218,131,0.01%
0x7f05bfe1113fa516e5978309beee2a2ee52036ab,130.61,0.01%
0x9715c105e07757d549df6ce0060fc25539dd2980,130,0.01%
0x6d78fab683931de0098aefe5863ce7ffb3fe7453,126.18,0.01%
0xd8a74e1a4398f6964bd5f55b6456cf9ce315cb6b,123.888,0.01%
0x438350b9bc24d1cdbcd70fc8e7da9970465cf9f0,123.45,0.01%
0x7bd09a1a0541dc05c113d00be0daf98a6fa7f8ab,118.47349,0.01%
0x48126fe5580e889aad966297a81a8462392a1b3a,110.11,0.01%
0x56f3064ca7508ea59fd779029714f8a1aa7c912f,105.8169088,0.01%
0xe604d545e37d4ae414e9dee9b737244b1ded9d08,105.34089,0.01%
0x598671ec039e2a83715d7779222039edddf210ad,105.01487,0.01%
0x55eff44bbe3f2928a055a0de44009bd494239027,105,0.01%
0xa5e0bbb6ab219a28efd96feb24ed4f35353f53aa,105,0.01%
0x33f7d9bcb5e6d982ddb429cb9680527311111991,104.8991584,0.01%
0xbd88a5cf48f3137bd96db99ffa4972e619320d07,101.08492,0.01%
0x01324c3e061ce11a3b315da0a86370383574fca2,101,0.01%
0xb09ef91e55f086554aaf4f2ff46723adc54c96db,101,0.01%
0x68292e64e2cabadeda9d4e27c9af9351fd3c9355,101,0.01%
0x77cc8282e9c9d166e07cc1292ea21cfac52e3000,101,0.01%
0xa3592424f97a2d9c62ef81ac0a6935a9aca5ac7c,101,0.01%
0x0d5d6d00abdd233594221c9e3fd91aaf2407e2ac,101,0.01%
0x68bdcae4966e3c3372830ac13e562b63e51d87d7,100.4923565,0.01%
0x76491e2d6a59402fbe60d10ef56aca92887037bd,100.15,0.01%
0x47b937913cbba545b9c54421c7ec6b33c0e92456,100.128305,0.01%
0x6345141e7ae54dcf6651fb1a5ba2e5f0cc3fc5d5,100.0425838,0.01%
0xc93949ecd7ab28521fa3082623227ec6d398785d,100.0394804,0.01%
0x4a35dfb3d6fa5b82cc69b39e241a5a23842ae8cc,100.01,0.01%
0xd31ec27123d4ccee69248efb158af1fbe321c217,100,0.01%
0x6db0f7109520d7043917848b01b3b176b65d4ad4,100,0.01%
0x68dd29b9db4125f26683e5250e457bc55435f214,100,0.01%
0x34cea3c91f2ad83f453a517f2c6ecf4f170a77a1,100,0.01%
0x4f2bccb46fb48c88b60080f008f51d1193312d02,100,0.01%
0xd1f8fd9bcb8881c7e7e8828aa199d8e7a6ea22ea,100,0.01%
0x27ea4ef1236f606c7f01665ded948bd18364fa51,100,0.01%
0x498a21a65617cd4f8515827b5c3468c31fa90734,100,0.01%
0x12a179ab0d565fae010ff452275dea1660b97132,100,0.01%
0x181bc20e4568e44b345fd3be5cd08220fe4299d0,100,0.01%
0x05d76af0e528b60e9e73e8043b158b08d178a2e5,100,0.01%
0x4648c5220c7f441da2c2dcac7aad3a57d4447067,100,0.01%
0x97d4c0797c228d12203b38d97bf4bb2ed59e1335,99.99,0.01%
0xdd484a013861916732334031273fa9ff93db1453,99.9,0.01%
0x64f35d13415a5ae766ab919172c6b51f960b9b05,98.9971438,0.01%
0x63572556c287e1278e09731fc2103f41bcd01766,98,0.01%
0x539bf92b122e20b907f08ca151fa5e317ffc8ff6,97.2932816,0.01%
0x30846511547d7f0c0bb6e93bdb6145f566dc726f,96.62,0.01%
0x41a84c1edf4dc2c990712c33ae53bf71c4138e7c,96.2017,0.01%
0x52f8c293be159dcd18de1915cc80b81e55695e31,96,0.01%
0x1c4f6425518a6efa1d662fa69623374ac0744f1e,95.7383282,0.01%
0x46b59cfa1140fe29f91efa5e6c5c896545625360,95,0.01%
0x06db7c7db619fb04fc1b24783791c784e8bd1c0d,93.8,0.01%
0xbb9b605efa1408d5d41bf5b7d37c368e870a1999,93.1476509,0.01%
0xba4926c75400b8d1f133a004d6fd3ed6b6f3c608,91,0.01%
0x729afedbe1cbe50d5fe71498f1e289e867a3d55e,89,0.01%
0x8083e1c3bf264f8ae36a1772020437ffbaf2f1cf,88.53,0.01%
0x7b0c04b95a83229e9c3df6adeb596e33ac8a3244,86.7,0.01%
0x70dbad6281c7e984288b2093a33cd70c60778484,86.235999,0.01%
0x172fcededfa93447c00f1b32c5ba7f47e3cda81b,85.05,0.01%
0x11fd2d95f00f94c1d49a2912c03c534f5a00cb66,80,0.01%
0x7726c45649b0977f54e0d7fa3d09d38460f075ac,80,0.01%
0x3c507e97b6356414fb59028cab25cbc3855caf67,79.653,0.01%
0x45b2b8a9bfce03e6159d4742a316e8dde1f365d6,78,0.01%
0x6d136ea285010b98068ab9db425c047391ed1b0b,75.854,0.01%
0xb127b6b850fb865999fe1e4d4c9e9d9f28f73ed5,75.1,0.01%
0xdfd8bfd484b1bcb67bcabf8888d374cf9b80b7cb,72,0.01%
0xa4832f806bf1a050840dd63f46f5c7ad9f1c1d1c,71,0.01%
0x40cca05ae7491305f01269d88f51c371be81a1a1,71,0.01%
0x17af16d615133d3c60061ad00b09d909e55c2e58,70.0854295,0.01%
0x73546ec75ca38447ace97c6285138ef47a2f2137,70,0.01%
0x1e9b60b1d9aa25021b43b588d1adc3386666f9e6,70,0.01%
0x0526f5b25362abaad4edc712c70923edcbae92e8,69.9952808,0.01%
0x66d2f28e6c9c913c08ed93a1a7c665d1feb55785,68.73,0.01%
0x9c8eb4bc2d9abbe744e21bf6e958b28ffb060f69,61.18,0.01%
0xe870884960d6dcadca1909b381935165df7a7667,55,0.01%
0x6d1dbcf1e1f694e5490b796fa36d5f327893e1eb,51.9316775,0.01%
0xe7fe47da456e4731fbf2189c91feb099345b7200,51,0.01%
0xc852799e3fc90f1c67293bafe06dbff5690bde9a,50.542407,0.01%
0x0e00fcbc2ce8464baea3fc977ed6b55bbe28b7d3,50.5117377,0.01%
0x4412efca7450762f7fd62463d15a5129d9572b42,50.5,0.01%
0x04c25a6d57a25d3394bea381ec6532b8f09f986f,50.1,0.01%
0xbd131babb9a3319c4c20f66548974ecd9ef36d7c,50,0.01%
0xaec0387c127ae849673bfc619a47fd973179f59c,50,0.01%
0xb73b8e3a1eec3642f0fbb9742bd1963cadf79d70,50,0.01%
0x06b8398dd33307c25fa1ceba5dd8e508a2cd3439,50,0.01%
0x8792c31b1bb3a70a9458f9f8b7d05d75a30fa0f4,50,0.01%
0xa67cdcad6342f737d553e6f6c24d6e3d28ee5a65,50,0.01%
0x3576d1814700e81672882a5466bf28eb5494d81d,50,0.01%
0x47c3d223f8a194df43d82492742edb7e616f1918,50,0.01%
0xd17349dcfb2d762255e1e801cc185f1f60baffee,50,0.01%
0xe0ee5b05d125a41644e37a0dc629d8878f5f41db,50,0.01%
0x51d61442b9e312fa673c3162a4cef0dd755ed9be,50,0.01%
0xc032478a0bf003382be5851b4c115c65a346da84,50,0.01%
0x66d6c8cf681b997a7f2d3be795963263299eb795,49.51,0.01%
0xa115be90c98c43eb735955a8835e6e6b51d71196,48.29,0.00%
0x094d6aedfc20f7b8b5a25936ae9d13397a0ab823,48,0.00%
0x5c25a9852230a7f98a6df58006e214ade6c1cefb,48,0.00%
0x2ad26edc2e83a54bd80e6b695b28bb0a7d09d7db,47.9735796,0.00%
0xfe3d57382b7d5007dc883257f520e9a9c1537097,46,0.00%
0xe8fba3b139b3d786fcba3e20164aec0341d20534,45.5298246,0.00%
0xc5378c9cc7cfafdaddef5e1e027e541d09ffc2ca,43.944,0.00%
0x15968c1a8b61665dbccbc28fd2517db1d78cc8ea,43.325,0.00%
0x504729aeb36009b0d2ba441ffe5317fa6244328d,43.0988251,0.00%
0x2cf873bb98c915cecaef1a3f64f71c933cfae3b8,41.755,0.00%
0x16b65d6e0a6e8ae7517229cae39c46cccbcfa2b5,41.332761,0.00%
0x76179a210037e23b03bdbcae6c714f18479fc0ec,39.735,0.00%
